estudiante_id,curso_id,nombre_curso,valoracion,categoria
103,104,Diseño UX/UI,5.0,Diseño
271,108,SQL Avanzado,5.0,Bases de Datos
21,107,Marketing Digital,2.0,Negocios
467,107,Marketing Digital,3.0,Negocios
459,108,SQL Avanzado,5.0,Bases de Datos
100,108,SQL Avanzado,3.0,Bases de Datos
662,105,Desarrollo Web Full Stack,2.0,Programación
344,106,Blockchain Fundamentals,2.0,Tecnología
192,105,Desarrollo Web Full Stack,1.0,Programación
460,110,Big Data con Spark,5.0,Ciencia de Datos
748,109,Redes Neuronales,1.0,Ciencia de Datos
475,110,Big Data con Spark,4.0,Ciencia de Datos
700,103,Análisis de Datos con Pandas,4.0,Ciencia de Datos
567,104,Diseño UX/UI,1.0,Diseño
131,105,Desarrollo Web Full Stack,3.0,Programación
647,105,Desarrollo Web Full Stack,1.0,Programación
167,102,Machine Learning Básico,4.0,Ciencia de Datos
601,102,Machine Learning Básico,2.0,Ciencia de Datos
777,110,Big Data con Spark,5.0,Ciencia de Datos
898,104,Diseño UX/UI,4.0,Diseño
367,107,Marketing Digital,4.0,Negocios
509,108,SQL Avanzado,3.0,Bases de Datos
206,101,Introducción a Python,4.0,Programación
562,108,SQL Avanzado,4.0,Bases de Datos
2,106,Blockchain Fundamentals,2.0,Tecnología
772,106,Blockchain Fundamentals,5.0,Tecnología
703,102,Machine Learning Básico,2.0,Ciencia de Datos
556,102,Machine Learning Básico,2.0,Ciencia de Datos
958,104,Diseño UX/UI,4.0,Diseño
702,108,SQL Avanzado,5.0,Bases de Datos
720,102,Machine Learning Básico,5.0,Ciencia de Datos
792,110,Big Data con Spark,1.0,Ciencia de Datos
764,109,Redes Neuronales,5.0,Ciencia de Datos
15,101,Introducción a Python,1.0,Programación
839,109,Redes Neuronales,1.0,Ciencia de Datos
648,108,SQL Avanzado,3.0,Bases de Datos
499,101,Introducción a Python,3.0,Programación
419,101,Introducción a Python,3.0,Programación
773,110,Big Data con Spark,2.0,Ciencia de Datos
41,107,Marketing Digital,1.0,Negocios
840,102,Machine Learning Básico,1.0,Ciencia de Datos
48,107,Marketing Digital,5.0,Negocios
99,108,SQL Avanzado,3.0,Bases de Datos
547,101,Introducción a Python,3.0,Programación
613,103,Análisis de Datos con Pandas,1.0,Ciencia de Datos
5,110,Big Data con Spark,3.0,Ciencia de Datos
393,110,Big Data con Spark,2.0,Ciencia de Datos
892,103,Análisis de Datos con Pandas,1.0,Ciencia de Datos
564,104,Diseño UX/UI,5.0,Diseño
407,107,Marketing Digital,5.0,Negocios
655,104,Diseño UX/UI,5.0,Diseño
160,107,Marketing Digital,3.0,Negocios
243,106,Blockchain Fundamentals,4.0,Tecnología
578,110,Big Data con Spark,5.0,Ciencia de Datos
574,109,Redes Neuronales,5.0,Ciencia de Datos
646,104,Diseño UX/UI,3.0,Diseño
640,110,Big Data con Spark,4.0,Ciencia de Datos
473,107,Marketing Digital,1.0,Negocios
385,109,Redes Neuronales,3.5,Ciencia de Datos
958,109,Redes Neuronales,4.0,Ciencia de Datos
973,109,Redes Neuronales,3.0,Ciencia de Datos
359,106,Blockchain Fundamentals,3.0,Tecnología
649,105,Desarrollo Web Full Stack,1.0,Programación
819,110,Big Data con Spark,4.0,Ciencia de Datos
664,106,Blockchain Fundamentals,1.0,Tecnología
692,101,Introducción a Python,1.0,Programación
442,104,Diseño UX/UI,4.0,Diseño
510,107,Marketing Digital,2.0,Negocios
387,101,Introducción a Python,5.0,Programación
625,108,SQL Avanzado,1.0,Bases de Datos
699,101,Introducción a Python,2.0,Programación
642,106,Blockchain Fundamentals,5.0,Tecnología
736,101,Introducción a Python,1.0,Programación
403,102,Machine Learning Básico,5.0,Ciencia de Datos
684,110,Big Data con Spark,4.0,Ciencia de Datos
439,108,SQL Avanzado,3.0,Bases de Datos
401,106,Blockchain Fundamentals,5.0,Tecnología
884,102,Machine Learning Básico,3.0,Ciencia de Datos
511,101,Introducción a Python,1.0,Programación
124,106,Blockchain Fundamentals,5.0,Tecnología
771,104,Diseño UX/UI,4.0,Diseño
955,104,Diseño UX/UI,3.0,Diseño
346,103,Análisis de Datos con Pandas,3.0,Ciencia de Datos
148,107,Marketing Digital,4.0,Negocios
489,101,Introducción a Python,2.0,Programación
872,101,Introducción a Python,3.0,Programación
988,109,Redes Neuronales,1.0,Ciencia de Datos
946,107,Marketing Digital,2.0,Negocios
611,107,Marketing Digital,4.0,Negocios
144,110,Big Data con Spark,1.0,Ciencia de Datos
572,101,Introducción a Python,2.0,Programación
897,105,Desarrollo Web Full Stack,5.0,Programación
160,107,Marketing Digital,1.0,Negocios
233,103,Análisis de Datos con Pandas,3.0,Ciencia de Datos
816,103,Análisis de Datos con Pandas,4.0,Ciencia de Datos
152,106,Blockchain Fundamentals,1.0,Tecnología
920,104,Diseño UX/UI,3.0,Diseño
625,108,SQL Avanzado,4.0,Bases de Datos
422,108,SQL Avanzado,4.0,Bases de Datos
254,103,Análisis de Datos con Pandas,1.0,Ciencia de Datos
99,109,Redes Neuronales,5.0,Ciencia de Datos
914,102,Machine Learning Básico,2.0,Ciencia de Datos
822,103,Análisis de Datos con Pandas,5.0,Ciencia de Datos
681,104,Diseño UX/UI,1.0,Diseño
580,101,Introducción a Python,5.0,Programación
816,104,Diseño UX/UI,3.0,Diseño
401,101,Introducción a Python,4.0,Programación
955,103,Análisis de Datos con Pandas,5.0,Ciencia de Datos
563,106,Blockchain Fundamentals,3.0,Tecnología
27,102,Machine Learning Básico,5.0,Ciencia de Datos
798,101,Introducción a Python,4.0,Programación
879,101,Introducción a Python,5.0,Programación
